
file_name = data/tgt/enwik8, algo_type = 0, align_type = 0, bs = 16384, align = 4096, org size = 100000000, cmp size = 73883648, cmp_ratio = 0.73884, pad_size = 13228954, pad_ratio = 0.17905
file_name = data/tgt/enwik8, algo_type = 1, align_type = 0, bs = 16384, align = 4096, org size = 100000000, cmp size = 49745920, cmp_ratio = 0.49746, pad_size = 8339275, pad_ratio = 0.16764
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 4096, align = 32768, org size = 100000000, cmp size = 76359168, cmp_ratio = 0.76359, pad_size = 9112930, pad_ratio = 0.11934
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 4096, align = 65536, org size = 100000000, cmp size = 74370048, cmp_ratio = 0.74370, pad_size = 7123810, pad_ratio = 0.09579
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 4096, align = 131072, org size = 100000000, cmp size = 73611264, cmp_ratio = 0.73611, pad_size = 6365026, pad_ratio = 0.08647
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 8192, align = 32768, org size = 100000000, cmp size = 73554432, cmp_ratio = 0.73554, pad_size = 9887562, pad_ratio = 0.13443
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 8192, align = 65536, org size = 100000000, cmp size = 69655040, cmp_ratio = 0.69655, pad_size = 5988170, pad_ratio = 0.08597
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 8192, align = 131072, org size = 100000000, cmp size = 68070400, cmp_ratio = 0.68070, pad_size = 4403530, pad_ratio = 0.06469
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 16384, align = 32768, org size = 100000000, cmp size = 66741760, cmp_ratio = 0.66742, pad_size = 6087066, pad_ratio = 0.09120
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 16384, align = 65536, org size = 100000000, cmp size = 66096640, cmp_ratio = 0.66097, pad_size = 5441946, pad_ratio = 0.08233
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 16384, align = 131072, org size = 100000000, cmp size = 64868352, cmp_ratio = 0.64868, pad_size = 4213658, pad_ratio = 0.06496
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 32768, align = 32768, org size = 100000000, cmp size = 98286592, cmp_ratio = 0.98287, pad_size = 39926835, pad_ratio = 0.40623
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 32768, align = 65536, org size = 100000000, cmp size = 66272256, cmp_ratio = 0.66272, pad_size = 7912499, pad_ratio = 0.11939
file_name = data/tgt/enwik8, algo_type = 0, align_type = 1, bs = 32768, align = 131072, org size = 100000000, cmp size = 65307648, cmp_ratio = 0.65308, pad_size = 6947891, pad_ratio = 0.10639
file_name = data/tgt/enwik8, algo_type = 1, align_type = 1, bs = 4096, align = 32768, org size = 100000000, cmp size = 52597248, cmp_ratio = 0.52597, pad_size = 6310381, pad_ratio = 0.11998
file_name = data/tgt/enwik8, algo_type = 1, align_type = 1, bs = 4096, align = 65536, org size = 100000000, cmp size = 51880448, cmp_ratio = 0.51880, pad_size = 5593581, pad_ratio = 0.10782
file_name = data/tgt/enwik8, algo_type = 1, align_type = 1, bs = 4096, align = 131072, org size = 100000000, cmp size = 51580928, cmp_ratio = 0.51581, pad_size = 5294061, pad_ratio = 0.10264
file_name = data/tgt/enwik8, algo_type = 1, align_type = 1, bs = 8192, align = 32768, org size = 100000000, cmp size = 49069568, cmp_ratio = 0.49070, pad_size = 5466432, pad_ratio = 0.11140
file_name = data/tgt/enwik8, algo_type = 1, align_type = 1, bs = 8192, align = 65536, org size = 100000000, cmp size = 48216064, cmp_ratio = 0.48216, pad_size = 4612928, pad_ratio = 0.09567
